17000	𗀀	⿱𘠀⿰𘢰𘠆
17001	𗀁	⿱𘠀⿵𘠒𘡯
17002	𗀂	⿱𘠀⿰𘠨𘢓
17003	𗀃	⿱𘠀⿰𘣣𘠐
17004	𗀄	⿱𘠀⿰𘣴𘠢
17005	𗀅	⿱𘠀⿲𘠐𘠳𘠢
17006	𗀆	⿱𘠀⿰𘤊𘠢
17007	𗀇	⿱𘠀𘨐
17008	𗀈	⿱𘠀⿰𘤣𘠢
17009	𗀉	⿱𘠀⿰𘫿𘠢
1700A	𗀊	⿱𘠀⿰𘠨𘤮
1700B	𗀋	⿱𘠀⿲𘠨𘢰𘠆
1700C	𗀌	⿱𘠀⿰𘡰𘡰
1700D	𗀍	⿱𘠀⿲𘠁𘤬𘠢
1700E	𗀎	⿱𘠀⿰𘡽𘢒
1700F	𗀏	⿱𘠀⿲𘠒𘫺𘡆
17010	𗀐	⿱𘠀⿰𘤞𘠺
17011	𗀑	⿱𘠀⿰𘦛𘠢
17012	𗀒	⿱𘠀⿰𘦳𘠢
17013	𗀓	⿱𘡳⿰𘠈𘣴
17014	𗀔	⿱𘠀⿲𘠨𘢌𘠢
17015	𗀕	⿱𘠀⿰𘠐𘧮
17016	𗀖	⿱𘠀⿰𘧶𘠢
17017	𗀗	⿱𘠀⿰𘤞𘢒
17018	𗀘	⿱𘠀⿰𘨷𘠢
17019	𗀙	⿱𘠀⿲𘠨𘣚𘠢
1701A	𗀚	⿱𘠀⿰𘣣𘣮
1701B	𗀛	⿱𘠀⿰𘣴𘣩
1701C	𗀜	⿱𘠀⿰𘣴𘥗
1701D	𗀝	⿱𘠀⿲𘤊𘡃𘠢
1701E	𗀞	⿱𘠀⿰𘤞𘣹
1701F	𗀟	⿱𘡳⿰𘠐𘣣
17020	𗀠	⿱𘠀⿰𘠨⿰𘠁⿰𘤕𘠢
17021	𗀡	⿱𘠀⿲𘠨𘦔𘠢
17022	𗀢	⿱𘠀⿰𘣣𘥸
17023	𗀣	⿱𘠀⿰𘣴𘥭
17024	𗀤	⿱𘠀⿰𘣴𘧖
17025	𗀥	⿱𘠀⿲𘦛𘠨𘠢
17026	𗀦	⿱𘠀⿲𘠱𘢚𘤃
17027	𗀧	⿱𘠀⿲𘢌𘦱𘠢
17028	𗀨	⿱𘠀⿰𘫖𘠢
17029	𗀩	⿱𘠀⿰𘢌⿰𘠐⿰𘤾𘠢
1702A	𗀪	⿱𘠀⿲𘤊𘦽𘠢
1702B	𗀫	⿱𘠀⿰𘤏⿰𘢌⿰𘢘𘠢
1702C	𗀬	⿱𘠀⿰𘨷𘪄
1702D	𗀭	⿱𘠀⿰𘩁𘪄
1702E	𗀮	⿱𘠀⿲𘨷𘨷𘠢
1702F	𗀯	⿱𘠀⿰𘨷⿺𘠇𘪙
17030	𗀰	⿰𘠁𘡤
17031	𗀱	⿰𘠁𘡯
17032	𗀲	⿰𘠁𘡲
17033	𗀳	⿰𘠁𘢪
17034	𗀴	⿰𘠁𘣀
17035	𗀵	⿰𘠁𘤃
17036	𗀶	⿰𘠁𘤊
17037	𗀷	⿰𘠁𘤕
17038	𗀸	⿰𘠁𘤜
17039	𗀹	⿰𘠁𘤧
1703A	𗀺	⿰𘠁𘤬
1703B	𗀻	⿰𘠁𘤱
1703C	𗀼	⿰𘠁𘥂
1703D	𗀽	⿰𘠁𘥍
1703E	𗀾	⿰𘠁𘥔
1703F	𗀿	⿰𘠁𘥧
17040	𗁀	⿲𘠁𘢌𘠡
17041	𗁁	⿰𘠁𘦈
17042	𗁂	⿰𘠁𘦡
17043	𗁃	⿰𘠁𘦢
17044	𗁄	⿰𘠁𘦧
17045	𗁅	⿰𘠁𘦳
17046	𗁆	⿲𘠁𘠨𘢌
17047	𗁇	⿰𘠁⿱𘠀𘧀
17048	𗁈	⿲𘠁𘡱𘠴
17049	𗁉	⿰𘠁𘨃
1704A	𗁊	⿰𘠁𘨆
1704B	𗁋	⿲𘠁𘦢𘠅
1704C	𗁌	⿲𘠁𘤬𘠢
1704D	𗁍	⿲𘠁𘢬𘠴
1704E	𗁎	⿲𘠁𘢰𘡃
1704F	𗁏	⿰𘠁𘨰
17050	𗁐	⿲𘠁𘠣𘣩
17051	𗁑	⿲𘠁𘡫𘢌
17052	𗁒	⿰𘠁⿱𘠀⿲𘡃𘠁𘡃
17053	𗁓	⿲𘠁𘡱𘢞
17054	𗁔	⿲𘠁𘢌𘡫
17055	𗁕	⿰𘠁⿺𘢍𘡫
17056	𗁖	⿰𘠁⿺𘢍⿰𘫺𘠅
17057	𗁗	⿲𘠁𘢌𘢶
17058	𗁘	⿰𘠁⿰𘡃⿰𘠌𘡃
17059	𗁙	⿲𘠁𘤕𘡀
1705A	𗁚	⿲𘠁𘤕𘡔
1705B	𗁛	⿰𘠁⿱𘡊⿰𘠳𘠢
1705C	𗁜	⿲𘠁𘦖𘠢
1705D	𗁝	⿲𘠁𘤬𘠴
1705E	𗁞	⿲𘠁𘤱𘡃
1705F	𗁟	⿲𘠁𘢰𘢒
17060	𗁠	⿲𘠁𘢷𘢌
17061	𗁡	⿰𘠁𘪏
17062	𗁢	⿰𘠁𘪖
17063	𗁣	⿲𘠁𘣇𘢌
17064	𗁤	⿲𘠁𘣇𘢷
17065	𗁥	⿲𘠁⿱𘠀𘠨𘥇
17066	𗁦	⿲𘠁𘠨𘦳
17067	𗁧	⿲𘠁𘣠𘡧
17068	𗁨	⿲𘠁𘡰𘣣
17069	𗁩	⿲𘠁𘡱𘥁
1706A	𗁪	⿲𘠁𘢌𘣟
1706B	𗁫	⿲𘠁𘢏𘤄
1706C	𗁬	⿲𘠁𘢌𘤏
1706D	𗁭	⿲𘠁𘤆𘡲
1706E	𗁮	⿲𘠁𘢌𘤥
1706F	𗁯	⿲𘠁𘤕𘡤
17070	𗁰	⿲𘠁𘤕𘢌
17071	𗁱	⿲𘠁𘢡𘤃
17072	𗁲	⿲𘠁𘢡𘤕
17073	𗁳	⿲𘠁𘢡𘤾
17074	𗁴	⿲𘠁𘢡𘥇
17075	𗁵	⿲𘠁𘢡𘥖
17076	𗁶	⿲𘠁𘦳𘠳
17077	𗁷	⿲𘠁𘦳𘠴
17078	𗁸	⿲𘠁𘤬𘣈
17079	𗁹	⿲𘠁𘧀𘡃
1707A	𗁺	⿰𘠁⿱𘢸𘣒
1707B	𗁻	⿰𘠁⿰𘠣⿰𘫽𘠢
1707C	𗁼	⿰𘠁⿰𘠨⿰𘢌𘠨
1707D	𗁽	⿰𘠁⿱𘡩⿰𘡡𘠡
1707E	𗁾	⿲𘠁𘢌𘦃
1707F	𗁿	⿰𘠁⿺𘢍𘦃
17080	𗂀	⿲𘠁𘢌𘧓
17081	𗂁	⿲𘠁𘤕𘣣
17082	𗂂	⿰𘠁⿰𘤟⿰𘠁𘢌
17083	𗂃	⿰𘠁⿺𘢦𘦳
17084	𗂄	⿲𘠁𘦳𘡧
17085	𗂅	⿲𘠁𘦳𘢌
17086	𗂆	⿲𘠁𘦳𘢓
17087	𗂇	⿲𘠁𘦳𘢞
17088	𗂈	⿲𘠁𘦳𘢶
17089	𗂉	⿲𘠁𘦳𘣀
1708A	𗂊	⿲𘠁𘤬𘣵
1708B	𗂋	⿲𘠁𘤬𘤹
1708C	𗂌	⿰𘠁⿱𘡎⿰𘠡𘥍
1708D	𗂍	⿰𘠁𘫙
1708E	𗂎	⿲𘠁𘣎𘥿
1708F	𗂏	⿲𘠁𘡦𘨈
17090	𗂐	⿰𘠁⿱𘡩⿰𘠡𘤧
17091	𗂑	⿲𘠁𘣚𘦳
17092	𗂒	⿰𘠁⿺𘣛𘦳
17093	𗂓	⿲𘠁𘣠𘧓
17094	𗂔	⿲𘠁𘣥𘦉
17095	𗂕	⿲𘠁𘢌𘨟
17096	𗂖	⿲𘠁𘤊𘥿
17097	𗂗	⿲𘠁𘤕⿱𘠊𘢏
17098	𗂘	⿲𘠁𘤕𘦢
17099	𗂙	⿲𘠁𘨃𘢌
1709A	𗂚	⿲𘠁𘨆𘡧
