li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
0001	𘞗	sjwɨ¹	6	1.30	swə¹	swə¹	swə¹
0002	𘟇	lo¹	9	1.49	loʶ¹	lo̱¹	lo̱¹
0003	𘞼	sji²	6	2.10	si²	si²	si²
0004	𗴷	la²	9	2.14	laʶ²	la̱²	la̱²
0005	𗀇	gjow¹	5	1.56	gow¹	goṁ¹	goṃ¹
0006	𗴼	khjiw²	5	2.40	khiw²	khiw²	khiw²
0007	𗵤	sjij¹	6	1.36	se¹	se¹	se¹
0008	𗀀	do¹	3	1.49	doʶ¹	do̱¹	do̱¹
0009	𗄈	śjwo¹	7	1.48	śwo¹	śow¹	śow¹
0010	𗄊	zji²	9	2.10	zi²	zi²	zi²
0012	𗵏	bju¹	1	1.02	bu¹	bu¹	bu¹
0013	𗀅	zar²	9	2.73	zaʶr²	rza̱r²	rza̱r²
0014	𗀫	pho̱¹	1	1.52	mphoʶ¹	mpho̱¹	mpho̱¹
0015	𗍥	ɣjɨ̣¹	8	1.69	ɣə̣¹	γəh¹	ghəh¹
0016	𗅈	tjɨ̣j²	3	2.55	tə̣j²	teṁh²	teṃh²
0017	𗀏	par²	1	2.73	paʶr²	rpa̱r²	rpa̱r²
0018	𗀨	thjwu²	3	2.03	thwu²	thwu²	thwu²
0019	𗄛	ber²	1	2.71	biʶr²	rbi̱r²	rbi̱r²
0020	𗵘	tśja¹	7	1.19	tśa¹	tśa¹	tśa¹
0021	𗵚	bju¹	1	1.02	bu¹	bu¹	bu¹
0022	𗵕	bə¹	1	1.27	bəʶ¹	bə̱¹	bə̱¹
0023	𗵲	rjor¹	9	1.90	ror¹	ror¹	ror¹
0024	𘈋	phjij²	1	2.33	phe²	phe²	phe²
0025	𗀍	khie̱¹	5	1.13	ɴqhʕiʶ¹	ŋqhai̱¹	ŋqhai̱¹
0026	𗀄	ŋwu²	5	2.01	ɴwuʶ²	ŋwu̱²	ŋwu̱²
0027	𗄑	ŋowr²	5	2.82	ɴoʶwr²	rŋo̱ṁr²	rŋo̱ṃr²
0028	𗍦	lhju̱¹	9	1.07	nlhu¹	nlhu¹	nlhu¹
