No,LFW,character,GHC,GX,rhyme,meaning,page number,character number
1,3017,𗴮,djịj¹,deh¹,1.61,類,03.01A.1,1
2,3890,𘊳,bo¹,bo̱¹,1.49,林,03.01A.1,2
3,5865,𘕕,sọ¹,so̱ṃh¹,1.7,三,03.01A.1,3
4,1290,𗡪,tsew²,tsi̱w²,2.38,第,03.01A.1,4
5,0608,𗱊,thjɨ̣²,thəh²,2.61,卷,03.01A.1,5
6,,,,,,,03.01A.2,1
7,,,,,,,03.01A.2,2
8,,,,,,,03.01A.2,3
9,0902,𘞌,źjɨr¹,rźər¹,1.86,實,03.01A.2,4
10,3744,𘓟,dźiej²,dẓae̱²,2.31,信,03.01A.2,5
11,1355,𘄿,tjij¹,te¹,1.36,篇,03.01A.2,6
12,1084,𗰗,ɣạ²,γa̱h²,2.56,十,03.01A.2,7
13,,,,,,,03.01A.3,1
14,4962,𗔬,we²,vwi̱²,2.07,魏,03.01A.3,2
15,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.3,3
16,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.01A.3,4
17,,,,,,,03.01A.3,5
18,0866,𘅰,ɣu¹,γu̱¹,1.04,吳,03.01A.3,6
19,4807,𗒯,khji¹,khi¹,1.11,起,03.01A.3,7
20,,,,,,,03.01A.3,8
21,0576,𘅧,kjwi¹,kwi¹,1.11,季,03.01A.3,9
22,1208,𗲁,tśia¹,tṣaa̱¹,1.18,扎,03.01A.3,10
23,,,,,,,03.01A.3,11
24,2259,𗪨,miej²,mae̱²,2.31,孟,03.01A.3,12
25,5925,𘕘,tsə¹,tsə̱¹,1.27,子,03.01A.3,13
26,,,,,,,03.01A.3,14
27,5574,𘃣,wji²,vi²,2.09,尾,03.01A.3,15
28,2256,𗻼,śiəj¹,ṣae̱ṃ¹,1.41,生,03.01A.3,16
29,,,,,,,03.01A.4,1
30,3213,𗦆,tsjĩ¹,tsiṃ¹,1.16,晉,03.01A.4,2
31,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.01A.4,3
32,3738,𘓖,kow¹,qo̱ṃ¹,1.54,公,03.01A.4,4
33,,,,,,,03.01A.4,5
